cluster,article_count,cluster_subject_en,coherent,confidence,rationale,model,prompt_version,context_hash,representative_titles,approved_cluster_subject_en,review_status,review_notes
n_0,30,Celestial phenomena,True,medium,"The cluster consistently concerns observable sky and light phenomena—especially solar and lunar eclipses, the seasonal return or disappearance of the sun, the Venus transit, moonlight, and related public celebrations. It is coherent at a broad level, though it combines astronomy reporting with cultural coverage of Sun Day and the Sun Festival.",gpt-5.6-sol,contextual-cluster-label-v1,38977bbdf668b61cd7881dc75c21c97a84c8fdf0ab61cd4df3c9a411f418d9ac,"[""Daylight Is Returning"", ""One Thousand and One Nights"", ""A Sneak Peek at the Sun"", ""147 Heavenly Seconds"", ""Mattress Company Seeks Discomfort—and the Sun"", ""Hunting for Venus"", ""Preparing for an Influx of Visitors for the Eclipse"", ""Venus Appears Tonight"", ""Gliding Down Longyeardalen"", ""The Full Moon Will Turn Dark"", ""The Polar Night Descends"", ""Look Up Tonight!"", ""Lunar Eclipse in Longyearbyen"", ""Dimming the midnight sun"", ""Tiger, Lion or Sun"", ""Maybe the sun will appear"", ""Støre to Attend Sun Festival Week"", ""The Sun Is Celebrated Again"", ""Celebrated More Light and Warmth"", ""This Year’s Sun Logo""]",Celestial phenomena,approved,Generated English label approved.
n_1,47,Longyearbyen healthcare,True,medium,"The cluster is predominantly about Longyearbyen Hospital and local medical provision, including staffing, emergency and air-ambulance readiness, childbirth, and mental-health services. A few lifestyle, personal-health, opinion, and hospital-building stories are peripheral, but most remain connected to healthcare or the hospital.",gpt-5.6-sol,contextual-cluster-label-v1,f3b246bca5d7361f41bc63dca9b1953947d068b56ab873409bf372448760ac2f,"[""Longyearbyen to Get Its Own Psychologist"", ""Jet returns in November"", ""Had to retrieve woman in labour"", ""A true body worker"", ""Dear Cryptic Freia, and Dear Selective Editorial Team!"", ""A Svalbard Princess Is Born"", ""The Svalbard twins are here"", ""No Solution for Ambulance Aircraft"", ""“Stagnated in Longyearbyen”"", ""May Increase Emergency Preparedness"", ""Waited 24 hours for an ambulance"", ""Emergency Preparedness Causes Concern"", ""A Community Mainland Norway Can Learn From"", ""“Half the town” laid low"", ""Death and Life"", ""Sometimes we need help"", ""We Care"", ""The Hospital in Longyearbyen"", ""Telephone trouble at the hospital"", ""Yellow is cool after all""]",Longyearbyen healthcare,approved,Generated English label approved.
n_10,41,Annual TV Telethon,False,medium,"Most articles cover local fundraising for Norway’s annual televised charity campaign, especially auctions, relays, collections, and donation totals. However, several articles concern unrelated subjects such as a dog-club open day, the Holmenkollen Relay, and Movember, so the cluster is not fully coherent.",gpt-5.6-sol,contextual-cluster-label-v1,4dcabbbbaa55751fc0cc7819a3b1a7660036697d2630b5d63dd7883c47dfe71c,"[""Perspective"", ""Dogs and children in perfect harmony"", ""Back in the Holmenkollen Relay"", ""Raised Money for the Telethon"", ""A Lady in Her Hat"", ""Searching for Patients"", ""Full speed through the town center"", ""Running in Money"", ""This Year’s Polar Bear Hide Awaits a New Owner"", ""Went All Out for the TV Fundraiser"", ""Plenty of Clean Water"", ""In Very Good Company"", ""A Hefty Annual Salary Earned"", ""Lost NOK 20,000 due to Greenpeace action"", ""Sold for NOK 443,000"", ""Everything Costs Money Here"", ""Longyearbyen leads the country"", ""Ny-Ålesund Is the New Moustache Town"", ""Running to raise money for the telethon"", ""Delivers money to TV fundraising campaign""]",Annual TV Telethon,approved,Generated English label approved.
n_11,46,Local sports,False,medium,"Most articles cover community and youth sports, including Svalbard Turn, tournaments, swimming, climbing, facilities, and exchanges with Barentsburg. However, several articles instead concern civic awards, 17 May celebrations, and historical photographs, so the cluster is not fully coherent.",gpt-5.6-sol,contextual-cluster-label-v1,0dfcdff0c2d9466c1fe080c325900069348126b7629a9cb63605422e3255ae20,"[""This Year’s Tyfus Award Goes to Helle Jakobsen"", ""Calls for a New Alpine Ski Slope"", ""The Winning Team"", ""A Swim to the Mainland"", ""Who Should Be Honoured This Year?"", ""“The Pig” Opened the World Cup Final"", ""Close Contest Between Neighbours"", ""A Blow for Friendship"", ""Exciting Sports Exchange"", ""Lost Everything in Barentsburg"", ""Vitaly and Ksenia in New Colours"", ""Touring Oslo"", ""Svalbard Turn and predictable conditions"", ""Out and About, Never Downcast"", ""Happiness Is a Climbing Wall"", ""Inspired and re-energized"", ""A stiff 17 May gathering"", ""From Candlelight Ceremony to New Records"", ""Here Are the Nominees"", ""A Tight Race""]",Local sports,approved,Generated English label approved.
n_12,48,Community Celebrations and Commemorations,True,medium,"Most articles cover local observances and ceremonial gatherings, including Constitution Day, May Day, Advent and Christmas traditions, Svalbard Day, and 22 July memorials. A few football, broadcasting, and labor-history articles are peripheral outliers, so the cluster is coherent only at a broad community-events level.",gpt-5.6-sol,contextual-cluster-label-v1,9013383fd05e0bd0cf408cd3a5907b733750db95c77105f0e490a3894aaad441,"[""Compared with the North Sea Divers"", ""“Santa Claus Is RED, Not DEAD!”"", ""Lights Up with Yellow Flags on Match Days"", ""Nothing but Celebration over TV in Longyearbyen"", ""When Prime Minister Arild Olsen Lit the Christmas Tree"", ""Here Comes the Civic Parade"", ""Dear Santa"", ""The Mailbox Is in Place"", ""Christmas Spirit Descended on the Town"", ""No Hard Feelings About the Christmas Tree"", ""Brass Band Wakes Up the Town"", ""A lively celebration"", ""Brilliant 17 May"", ""Think a Little Extra About Those Affected"", ""Do You Recognize Anyone?"", ""Lucia at the Library"", ""Labour Party heavyweight for May Day"", ""Witnesses on Tuesday"", ""22 July Commemorated at Church"", ""Happy Svalbard Day""]",Community Celebrations and Commemorations,approved,Generated English label approved.
n_13,46,Svalbardposten newspaper,True,high,"The cluster centers on Svalbardposten as a publication: its editors and staff, circulation, distribution, redesigns, digital editions, online payment, social media, and new publishing projects. A few articles concern other newspapers or visiting journalists, but they remain closely related to the local newspaper and press coverage.",gpt-5.6-sol,contextual-cluster-label-v1,2e731bed3a6554a3d81547ff7baa5df3a8a10824a5ed48e4beed236cf75aa9e5,"[""Svalbardposten Delayed"", ""Svalbardposten later tomorrow"", ""It’s gathering momentum"", ""Ends the Newspaper Drought"", ""Spending the Summer in the North"", ""Reporting from Svalbard"", ""2,636 newspapers a week"", ""A Sprightly 60-Year-Old"", ""The Crossword Man"", ""The Top of the World"", ""Editor Leaves Svalbardposten"", ""Palm becomes editor"", ""We’re Turning Off Twitter Images"", ""Small but Tough"", ""We’re Going to Charge for Online Access"", ""“It Has Been Bloody Great”"", ""Svalbardposten Gets Digital Edition"", ""Online payment coming soon"", ""Svalbardposten on Facebook"", ""Believes Kjell Lives Farther North Than Anyone""]",Svalbardposten newspaper,approved,Generated English label approved.
n_14,141,Longyearbyen air travel,False,medium,"Most articles concern SAS flights, cancellations, extra services, passengers, baggage, and airport conditions on routes linking Longyearbyen with Tromsø and Oslo. However, the cluster also contains a substantial competing group about maritime freight and postal logistics, plus unrelated tax and fire-service stories, so it is not fully coherent.",gpt-5.6-sol,contextual-cluster-label-v1,783b4409363d4f31f8dd495a685bbd2c39dfec65d1417f0a8f42eb47a592f5fe,"[""Three flights cancelled"", ""“Norbjørn” Stuck in the Ice"", ""The Postal Service and the Svalbard Surcharge"", ""A Little Criticism, Plenty of Praise for the Fire Service"", ""Sailing Toward a Freight Monopoly"", ""Airport Hotel Burned Down"", ""Storm Destroys Cargo"", ""Gift Container on Its Way"", ""Search the Tax Lists"", ""Difficult Landing Conditions"", ""Extra Flight Scheduled Tonight"", ""Scheduled flight has landed"", ""Extra Flights Scheduled"", ""Extra Flight Added"", ""Three Times as Many Injuries"", ""SAS Plane Landed Without Half the Baggage"", ""SAS Flight Landed This Afternoon"", ""Flights to Tromsø fully booked"", ""Says Points Ban Is Illegal"", ""Could Get New Aircraft in the Autumn""]",Longyearbyen air travel,approved,Generated English label approved.
n_15,64,Performing arts,True,high,"The cluster is strongly dominated by stage performances, youth cultural showcases, theatre, music, circus, revues and school productions. A few articles on residency status, youth politics and work experience are unrelated outliers, but they do not outweigh the clear performing-arts focus.",gpt-5.6-sol,contextual-cluster-label-v1,6cbf1c61463339a9c50de32a7953d630ebd55ea34e481d657f85df46ba2e2ae4,"[""Little Blue Captivates Young and Old"", ""Doesn’t Want to Be Homeless"", ""Conquered Paris with a Hallelujah"", ""This year’s Tyfus winner"", ""Through to UKM"", ""A Varied Cultural Showcase"", ""Journalist for a Day"", ""Young Ambassadors"", ""A Young Songbird"", ""Independence on Liberation Day"", ""Acrobatic Display in the Sports Hall"", ""Creation at Huset"", ""Christmas in Blue Mountain"", ""Came to Life on the Voyage"", ""Performed at National Showcase"", ""Sharp Growth for AUF"", ""Moscow Nights in Barentsburg"", ""A Parade of Parodies from the Revue Group"", ""All That Glitters Is Gold"", ""Gala Performance Sets World Record""]",Performing arts,approved,Generated English label approved.
n_16,32,Weather and climate,True,high,"The cluster consistently covers weather forecasts, storms, temperature and precipitation records, seasonal conditions, and longer-term changes in winter climate. A few articles focus on sunlight, sea ice, or cold-weather life, but these remain closely tied to local weather and seasonal conditions.",gpt-5.6-sol,contextual-cluster-label-v1,6a90f314787ae99ef9c20e158cf1c259f488b3ffc0f5eb85f6eb4b22c2b3de9d,"[""One day of sunshine in August"", ""Daylight creeps north"", ""Warmer, Wetter, Wilder Svalbard Winters"", ""The sun sets—but what about the foot?"", ""Extreme Weather on the Way"", ""Enjoying the Sun and Warmth on Svalbard"", ""This should improve temperature forecasts"", ""No improvement in the ice before next week"", ""More detailed weather forecasts"", ""A Heatwave Expedition"", ""Wettest November Ever"", ""Visibility Close to Zero"", ""The weatherman with his own weather whiskers"", ""Best weather around Longyearbyen"", ""New Temperature Records"", ""Tiril (7) and Ronja (12) Have Acquired a Taste for Cold Night Air"", ""Unsettled Weather on New Year’s Eve"", ""Unsettled Easter weather"", ""Check out this difference!"", ""80 hot days""]",Weather and climate,approved,Generated English label approved.
n_17,48,Art exhibitions,True,high,"The cluster consistently covers visual artists, exhibitions, gallery openings, and art institutions such as Galleri Svalbard and Kunsthall Svalbard. A few performances and workshops appear as parts of gallery or multidisciplinary arts programs, rather than as separate subjects.",gpt-5.6-sol,contextual-cluster-label-v1,817a1b24e8ac52ef479ca4ba418e5200500f32722a4c3b9af9d9463ca0f3571f,"[""On the tipping point"", ""The Art Break Is Over"", ""The Queen Has Landed"", ""Bankruptcy Halts Artwork Project"", ""With Helpers in the “String Loft”"", ""Collaboration Leads to Christmas Workshop"", ""Kunstpause Opens at the Gallery"", ""To Open Polarjazz and an Exhibition"", ""“Blå salme” in the polar night"", ""Singing to the Moon"", ""Showcasing his fascinations"", ""Diversity and high quality"", ""Exhibition at the Gallery Focuses on the Things Close to Home"", ""Kåre Tveter dies"", ""New Subjects at the Gallery"", ""Dad Moves Out"", ""Art Hall to Open in February"", ""A Swift Royal Art Opening"", ""Opening the Museum to Art"", ""Young photographers showcase their best shots""]",Art exhibitions,approved,Generated English label approved.
